protein_gen,kaynak_organizma,mekanizma,kanit_seviyesi,kaynak,notlar
Dsup,Ramazzottius varieornatus,"Nükleozomlara bağlanma, DNA'yı hidroksil radikallerinden fiziksel olarak koruma",Kazanım-fonksiyonu (insan hücresine transfeksiyon) -- tardigrade'in KENDİSİNDE knockdown/RNAi kanıtı YOK,"Hashimoto ve ark. 2016, Nat Commun 7:12808; Chavez ve ark. 2019, eLife 8:e47682","X-ışını kaynaklı DNA hasarını insan hücrelerinde ~%40 azaltıyor. Tardigrade'in kendi vücudunda esansiyelliği KANITLANMAMIŞ."
CAHS (2/4 test edilen gen),Hypsibius dujardini (Hypsibius exemplaris),"Sitoplazmik, kuruma sırasında cam-geçişi/jel oluşumu, yapısal koruma",KNOCKDOWN-KANITLI ESANSİYEL -- RNAi ile susturulunca kuruma sonrası hayatta kalma anlamlı düşüyor (kontrol GFP-RNAi'ye göre),"Boothby ve ark. 2017, Mol Cell 65(6):975-984","H. dujardini genomunda 17 CAHS transkripti var, 11'i ifade ediliyor, 4'ü kuruma sırasında yüksek-indüklenen (13-22 kat), bu 4'ten 2'si RNAi ile test edildi, ikisi de esansiyel çıktı. TAM GEN ID'LERİ (ör. 'CAHS1/CAHS8' gibi) DOĞRULANAMADI -- makalenin tam metnine (Elsevier ödeme duvarı, UNC deposu erişilemedi, PubMed çerez engeli) bu turda erişilemedi. Bir sonraki turda kurumsal erişimle/farklı kaynaktan denenmeli."
SAHS (1 test edilen gen),Hypsibius dujardini (Hypsibius exemplaris),"Salgısal, hücre dışı bileşen/organel koruması",KNOCKDOWN-KANITLI ESANSİYEL -- aynı çalışmada RNAi ile susturulunca kuruma sonrası hayatta kalma anlamlı düşüyor,"Boothby ve ark. 2017, Mol Cell 65(6):975-984","CAHS ile aynı makale/deney seti. Tam gen ID'si de aynı nedenle doğrulanamadı."
MAHS,Ramazzottius varieornatus,"Mitokondriyal, ozmotik stres koruması",Kazanım-fonksiyonu (insan hücresi) -- tardigrade'in kendisinde knockdown YOK,"Tanaka ve ark. 2015, PLOS ONE 10(2):e0118272","İnsan hücrelerinde hiperozmotik toleransı artırıyor. Aynı makalede RvLEAM adlı ikinci bir mitokondriyal koruyucu protein de tanımlanmış."
HSP70,Richtersius coronifer,"Kuruma/radyasyon sonrası hücresel onarım süreçleri (biyokimyasal stabilizasyon değil)",Sadece upregülasyon/korelasyon (indüksiyon gözlemi) -- knockdown kanıtı bulunamadı,"Jönsson & Schill 2007, Comp Biochem Physiol B","Kuruma, iyonlaştırıcı radyasyon VE ısı şokunda artıyor -- üç farklı stres türüne ortak bir yanıt, spesifik değil."
HSP21/HSP24.6/HSP25.1/HSP38,Tardigrade (tür belirtilmemiş -- genel sHSP ailesi taraması),"Küçük ısı şoku proteinleri, protein agregasyonunu sınırlama",Heterolog fonksiyon kanıtı (bakteride ifade edilince kuruma direnci >100 kat artıyor) -- tardigrade'in kendisinde knockdown YOK,"Comm Biol 2023 (PMC9887055)","ÖNEMLİ: aynı ailenin HSP17/HSP19/HSP20 üyeleri TEST EDİLMİŞ ama koruyucu ETKİSİ YOK bulunmuş -- 'HSP ailesi' diye toptan genellemek YANLIŞ, gen-spesifik olunmalı."
RecA/Rad51 (Ku, umuC, Ada da dahil),Hypsibius dujardini,"DNA onarımı, iddia edilen yatay gen transferi (HGT) genişlemesi",❌ İDDİA BÜYÜK OLASILIKLA GEÇERSİZ -- kaynak makalenin (Boothby 2015) genel HGT iddiası (%17.5) sonradan KONTAMİNASYON ARTEFAKTI olduğu gösterildi (Koutsovoulos ve ark. 2016, PNAS: düzeltilmiş oran ~%0.4). Yüksek kaliteli, temiz genom analizinde (Yoshida ve ark. 2017, PLOS Biology, ~%2.3 doğrulanmış HGT) RecA/Rad51/Ku/umuC/Ada DOĞRULANMIŞ HGT LİSTESİNDE YOK -- bunun yerine 'genom onarımıyla ilgili 4 tardigrade-özgü gen ailesi kümesi' bulundu (HGT değil, soy-içi gen ailesi genişlemesi/innovasyon)),"Boothby ve ark. 2015, PNAS 112(52):15976-15981 (orijinal, büyük ölçüde geçersiz iddia); Koutsovoulos ve ark. 2016, PNAS 113(18):5053-5058 (kontaminasyon düzeltmesi); Yoshida ve ark. 2017, PLOS Biol 15(7):e2002266 (yüksek kaliteli genom, doğrulanmış ~%2.3 HGT)","DERİNLEŞTİRİLDİ (2026-09-01): bu satır artık Katman B listesinden ÇIKARILMALI -- kanıt tabanı çöktü. DNA onarım güçlendirmesi varsa (henüz doğrulanmadı) mekanizması HGT değil, tardigrade-özgü paralog genişlemesi olabilir -- ayrı bir araştırma konusu."
Katalaz,Ramazzottius varieornatus / Hypsibius dujardini (tüm lokuslar),"Antioksidan enzim: 2 H2O2 -> 2 H2O + O2 (metabolik, gerçek bir reaksiyon)",✅ DOĞRULANMIŞ GERÇEK HGT (bakteriyel kökenli) -- yüksek kaliteli genom analizinde TÜM katalaz lokuslarının bakteriyel kökenli olduğu doğrulandı,"Yoshida ve ark. 2017, PLOS Biol 15(7):e2002266","YENİ BULGU (2026-09-01, RecA/Rad51 derinleştirmesi sırasında bulundu): bu METABOLİK bir enzim -- Katman A'ya güçlü bir aday (gerçek reaksiyon, gerçek doğrulanmış HGT kaynağı, DODA1'den daha sağlam kanıt tabanı). Henüz eklenmedi."
TRID1 (TDR1),Hypsibius exemplaris,"Radyasyonla indüklenen, faz-ayrımı (phase separation) yoluyla DNA onarımını kolaylaştırma",Sadece korelasyon/indüksiyon + insan hücresinde kazanım-kanıtı (fosfo-H2AX odaklarının azalması) -- knockdown YOK (yazarlar açıkça: tardigrade'de CRISPR-Cas9 ile gen inaktivasyonu HENÜZ mümkün değil),"eLife reviewed preprint 2023/2024, elife-92621","Çok yeni bir bulgu (2023-2024). Acutuncus antarcticus ve Paramacrobiotus fairbanksi'de karşılaştırmalı analiz de var."
DODA1 (betalain sentezi),Hypsibius dujardini,"Yatay gen transferiyle kazanılmış, radikal-temizleyici pigment (betalain) üretimi",METABOLİK -- bu KATMAN A'YA (FBA'ya eklenebilir) aday, Katman B değil,"Boothby ve ark. 2015, PNAS 112(52):15976-15981","Gerçek bir biyosentez yolu (küçük molekül üretimi) -- reaksiyon/stokiyometri olarak modele eklenebilir. Henüz eklenmedi, kullanıcıyla netleştirilecek."
