bakim_carpani,t,foton_carpani,n2_carpani,h2o_cap,durum,buyume
1.0,0.0,0.59,0.0002,1.0,optimal,0.007370286700834789
1.0,0.02,0.5982,0.020196,20.98,optimal,0.007512391537086279
1.0,0.04,0.6063999999999999,0.040192,40.96,optimal,0.007654496373337367
1.0,0.06,0.6145999999999999,0.060188,60.94,optimal,0.007796601209588404
1.0,0.08,0.6228,0.080184,80.92,optimal,0.007938706045839307
1.0,0.1,0.631,0.10018000000000002,100.9,optimal,0.00808081088209041
1.0,0.12,0.6392,0.120176,120.88,optimal,0.008222915718344333
1.0,0.14,0.6474,0.14017200000000002,140.86,optimal,0.008365020554593358
1.0,0.16,0.6556,0.160168,160.84,optimal,0.008507125390842427
1.0,0.18,0.6638,0.180164,180.82,optimal,0.008649230227095416
1.0,0.2,0.6719999999999999,0.20016000000000003,200.8,optimal,0.008791335063345458
1.0,0.22,0.6801999999999999,0.22015600000000002,220.78,optimal,0.008933439899596524
1.0,0.24,0.6884,0.240152,240.76,optimal,0.009075544735850363
1.0,0.26,0.6966,0.260148,260.74,optimal,0.00921764957210046
1.0,0.28,0.7048,0.280144,280.72,optimal,0.009359754408350537
1.0,0.3,0.713,0.30013999999999996,300.7,optimal,0.009501859244602482
1.0,0.32,0.7212,0.320136,320.68,optimal,0.009643964080853511
1.0,0.34,0.7294,0.340132,340.66,optimal,0.009786068917105477
1.0,0.36,0.7376,0.36012799999999995,360.64,optimal,0.009928173753356603
1.0,0.38,0.7458,0.380124,380.62,optimal,0.0100702785896076
1.0,0.4,0.754,0.40012000000000003,400.6,optimal,0.01021238342585959
1.0,0.42,0.7622,0.420116,420.58,optimal,0.01035448826211043
1.0,0.44,0.7704,0.440112,440.56,optimal,0.010496593098361562
1.0,0.46,0.7786,0.460108,460.54,optimal,0.010638697934611497
1.0,0.48,0.7867999999999999,0.480104,480.52,optimal,0.010780802770864606
1.0,0.5,0.7949999999999999,0.5001,500.5,optimal,0.01092290760711374
1.0,0.52,0.8032,0.520096,520.48,optimal,0.011065012443362682
1.0,0.54,0.8114,0.540092,540.46,optimal,0.011207117279616513
1.0,0.56,0.8196,0.560088,560.44,optimal,0.011349222115869563
1.0,0.58,0.8278,0.5800839999999999,580.42,optimal,0.011491326952118753
1.0,0.6,0.836,0.60008,600.4,optimal,0.01163343178836957
1.0,0.62,0.8442000000000001,0.620076,620.38,optimal,0.011775536624622676
1.0,0.64,0.8524,0.640072,640.36,optimal,0.011917641460872824
1.0,0.66,0.8606,0.660068,660.34,optimal,0.012059746297122738
1.0,0.68,0.8688,0.680064,680.32,optimal,0.0122018511333776
1.0,0.7,0.877,0.7000599999999999,700.3,optimal,0.012343955969627715
