gen_id,Mars_bakim_x1.5,Mars_bakim_x2.5,Mars_bakim_x3.5,Referans_fotoototrofik,kac_mars_senaryosunda
cce_0994,False,False,True,False,1
cce_1176,False,False,True,False,1
cce_1763,False,False,True,False,1
cce_1764,False,False,True,False,1
cce_1975,False,False,True,False,1
cce_1976,False,False,True,False,1
cce_1977,False,False,True,False,1
cce_2221,False,False,True,False,1
cce_2222,False,False,True,False,1
cce_2223,False,False,True,False,1
cce_2224,False,False,True,False,1
cce_2317,False,False,True,False,1
cce_2318,False,False,True,False,1
cce_2319,False,False,True,False,1
cce_4717,False,False,True,False,1
